first_name,last_name,event_name,event_year,division,weight,wins,losses,placement,is_all_american,notes
Christopher,Goucher,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,106,1,2,,false,Beat Castillo (CO); lost to Huddleston (IN/champ) and Smith (PA)
Carson,Raper,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,113,5,2,,false,"Beat Schommer (NE), Transfiguracion (WA), Ortiz (TX), Centeno (MN), Haakinson (SD); lost to Yeoman (IA) and Phelan (FL). No placer wins/losses."
Ayden,Sumners,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,132,1,2,,false,Beat Hall (TX); lost to Glauser (IL) and du Chemin (WI). No placer wins/losses.
Aidan,Szewczyk,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,138,0,2,,false,Lost to Sorrow (MI/3rd place) and Cumbee (IL).
Mac,Johnson,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,138,3,2,,false,"Lost R1 to Yarussi (NJ); then won 3 straight in conso (K. Johnson MN, Larson x-round, Larson) before losing to Huff (IL)."
Miller,Menteer,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,138,0,2,,false,Lost to Bowie (IN) and in first conso round.
Charles,Thompson,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,138,1,2,,false,Beat Quiver (WY); lost to Yakes (FL) and Albanese (PA).
Tye,Johnson,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,144,1,2,,false,Beat Foote (ME) in R1; lost to Hart (OK) and Goodman (IN).
Everon,Riddle,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,144,0,2,,false,Lost to Garcia-Salazar (CO) and Marchese (IL).
Josh,Brezac,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,144,1,2,,false,Beat Winningham (OR); lost to Fenner (PA) and in conso R2. VERIFY conso depth.
Bentley,Sly,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,157,6,2,,false,"6-2. Won 3 on champ side (incl. Gray ME, Torralba MD) before Ingham (WI) beat him; then 3 straight in conso (Stonebraker NC teammate, Richardson IL, Bull UT) before Pickett (MD/7th) Dec 12-5 in bloodround, one win short of AA. Deepest run of any NC Junior."
Noah,Cerino,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,157,0,2,,false,Lost R1; eliminated in first consolation round. 0-2.
Joshua,Stonebraker,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,157,3,2,,false,"3-2 per confirmation."
Hayden,Smith,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,157,0,2,,false,Lost to Valdiviezo (CA) R1; eliminated in first conso round.
Denys,Tsap,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,175,1,2,,false,1-2 per confirmation. Opponent details pending 175 bracket.
Mason,Hollar,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,175,0,2,,false,0-2 per confirmation. Opponent details pending 175 bracket.
Logan,Mumy,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,190,1,2,,false,1-2 per confirmation. Opponent details pending 190 bracket.
Nash,Mullis,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,215,2,2,,false,2-2. Beat Camelin (MO) R1; lost to Brown (MO); won a consolation match before being eliminated.
Benjamin,Green,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,215,0,2,,false,Lost to Latorre (PA) R1 and Frass (OH) in conso. Confirm R1.
Christopher,Locklear,US Marine Corps National Championships (Fargo),2026,Junior Boys Freestyle,285,0,2,,false,0-2 per confirmation. Opponent details pending 285 bracket.
Braylen,Yates,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,175,5,2,4th,true,"5-2, 4th (AA). Won 4 straight to semis (Bytyqi IL, Moore MS, Gibson OH, Sanderson PA); lost SF to Skelly (MN); beat Moran (WA) in cons semi; lost 3rd-place match to Davis (IL)."
Devin,Hord,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,120,6,2,5th,true,"6-2, placed 5th. Won on champ side (incl. Garcia CA); lost to Worth (PA); deep consolation run into 5th-place match (won MFF)."
